recipe_id,recipe_name,recipe_slug,category,meal_type,image_url,generated_at
"cmifeore00326kgeb5o4xrexu","Edamame","edamame-snack","Quick Grab Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeore00326kgeb5o4xrexu.jpg","2025-11-26T05:00:47.081Z"
"cmifeowz503qnkgeb5q74wmd3","Egg Salad Lettuce Wraps","egg-salad-lettuce-wraps","Protein Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeowz503qnkgeb5q74wmd3.jpg","2025-11-26T05:00:58.194Z"
"cmifeoit9020rkgebgquj9niq","Eggplant Parmesan (Baked)","eggplant-parmesan","Vegetarian & Plant-Based","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoit9020rkgebgquj9niq.jpg","2025-11-26T05:01:09.489Z"
"cmifeowsz03prkgeb89uog8d9","Energy Balls Variety Pack","energy-balls-variety-pack","Snacks to Share","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeowsz03prkgeb89uog8d9.jpg","2025-11-26T05:09:06.929Z"
"cmifeobvn0189kgebzrk3l25z","Falafel Bowl","falafel-bowl","Bowls","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeobvn0189kgebzrk3l25z.jpg","2025-11-26T05:09:17.604Z"
"cmifeoalz0131kgebwbh7aeav","Falafel Pita Pocket","falafel-pita-pocket","Sandwiches & Wraps","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoalz0131kgebwbh7aeav.jpg","2025-11-26T05:09:30.336Z"
"cmifeo7om00rokgebbde2f1m0","Farro & Roasted Vegetable Salad","farro-roasted-vegetable-salad","Salads","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo7om00rokgebbde2f1m0.jpg","2025-11-26T05:09:41.866Z"
"cmifeop2z02sbkgebll3pawkm","Fish Tacos with Slaw","fish-tacos-slaw","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeop2z02sbkgebll3pawkm.jpg","2025-11-26T05:25:20.897Z"
"cmifeomfv02g7kgebh7rkbht7","Fish Veracruz Style","fish-veracruz","Mexican/Latin","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeomfv02g7kgebh7rkbht7.jpg","2025-11-26T05:25:33.147Z"
"cmifeotvr03cikgeb9gd1vm56","Frozen Banana Bites","frozen-banana-bites","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeotvr03cikgeb9gd1vm56.jpg","2025-11-26T05:25:44.183Z"
"cmifeovy503mbkgeb9mo7es4y","Frozen Fruit Pops","frozen-fruit-pops","Snacks to Share","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeovy503mbkgeb9mo7es4y.jpg","2025-11-26T05:25:55.908Z"
"cmifeodov01fakgebqjjg2j1a","Garlic Butter Shrimp with Zucchini Noodles","garlic-butter-shrimp-zucchini-noodles","Seafood","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeodov01fakgebqjjg2j1a.jpg","2025-11-26T05:51:39.820Z"
"cmifeoewp01k9kgeb9vlsvmho","Garlic Mussels in White Wine","garlic-mussels-white-wine","Seafood","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoewp01k9kgeb9vlsvmho.jpg","2025-11-26T05:52:00.387Z"
"cmifeoxiy03tfkgeb6phebh2q","Ginger Glazed Carrot Sticks","ginger-carrot-sticks","Anti-Inflammatory Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoxiy03tfkgeb6phebh2q.jpg","2025-11-26T05:52:24.538Z"
"cmifeougj03fgkgeb6gyk5qtz","Ginger Lemon Tea","ginger-lemon-tea","Beverages","BEVERAGE","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeougj03fgkgeb6gyk5qtz.jpg","2025-11-26T05:52:44.888Z"
"cmifeol3o029nkgebig6uejx3","Ginger Sesame Seared Tuna","ginger-sesame-tuna","Asian Cuisine","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeol3o029nkgebig6uejx3.jpg","2025-11-26T06:09:07.045Z"
"cmifeoue003eykgeb6kinc2rb","Golden Milk (Turmeric Latte)","golden-milk","Beverages","BEVERAGE","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoue003eykgeb6kinc2rb.jpg","2025-11-26T06:09:18.845Z"
"cmifeo0bg001dkgebgq8tm0h4","Golden Turmeric Oatmeal","golden-turmeric-oatmeal","Oats & Grains","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo0bg001dkgebgq8tm0h4.jpg","2025-11-26T06:09:30.727Z"
"cmifeolwr02dlkgeba27doil4","Greek Lamb Meatballs with Tzatziki","greek-lamb-meatballs","Mediterranean","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeolwr02dlkgeba27doil4.jpg","2025-11-26T06:25:33.598Z"
"cmifeo8xw00xbkgebh4bau43y","Greek Lemon Chicken Soup (Avgolemono)","greek-lemon-chicken-soup","Soups","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo8xw00xbkgebh4bau43y.jpg","2025-11-26T06:25:48.868Z"
"cmifeo2ht008ckgebfcu5akjj","Greek Omelet","greek-omelet","Eggs & Savory","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo2ht008ckgebfcu5akjj.jpg","2025-11-26T06:26:07.884Z"
